title,year,region,poster
闻香识女人,1992,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg
绿皮书,2018,美国 中国大陆,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg
大闹天宫,1961(中国大陆),1964(中国大陆),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg
黑客帝国,1999,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg
指环王1：护戒使者,2001,新西兰 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg
罗马假日,1953,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
教父2,1974,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg
狮子王,1994,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg
天堂电影院,1988,意大利 法国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg
饮食男女,1994,中国台湾 美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
辩护人,2013,韩国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg
搏击俱乐部,1999,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg
本杰明·巴顿奇事,2008,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg
美丽心灵,2001,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg
穿条纹睡衣的男孩,2008,英国 美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg
情书,1995,日本,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg
窃听风暴,2006,德国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg
两杆大烟枪,1998,英国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
哈利·波特与死亡圣器(下),2011,美国 英国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913457020.jpg
音乐之声,1965,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg
西西里的美丽传说,2000,意大利 美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg
功夫,2004,中国大陆 中国香港,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg
阿凡达,2009,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg
哈利·波特与阿兹卡班的囚徒,2004,英国 美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913456870.jpg
看不见的客人,2016,西班牙,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
末代皇帝,1987,英国 意大利 中国大陆 法国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
哈利·波特与魔法石,2001,美国 英国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913781448.jpg
龙猫,1988,日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
怦然心动,2010,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
活着,1994,中国大陆 中国香港,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg
蝙蝠侠：黑暗骑士,2008,美国 英国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
指环王3：王者无敌,2003,美国 新西兰,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg
我不是药神,2018,中国大陆,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg
乱世佳人,1939,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
飞屋环游记,2009,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553594918.jpg
让子弹飞,2010,中国大陆 中国香港,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
哈尔的移动城堡,2004,日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2907583906.jpg
素媛,2013,韩国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
十二怒汉,1957,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
海蒂和爷爷,2015,德国 瑞士,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
猫鼠游戏,2002,美国 加拿大,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg
天空之城,1986,日本,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2892409201.jpg
摔跤吧！爸爸,2016,印度,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg
鬼子来了,2000,中国大陆,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg
少年派的奇幻漂流,2012,美国 中国台湾 英国 加拿大,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
钢琴家,2002,英国 法国 波兰 德国 美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg
指环王2：双塔奇兵,2002,美国 新西兰,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg
死亡诗社,1989,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg
大话西游之月光宝盒,1995,中国香港 中国大陆,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg
何以为家,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg
拯救大兵瑞恩,1998,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg
沉默的羔羊,1991,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg
小鞋子,1997,伊朗,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg
飞越疯人院,1975,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
布达佩斯大饭店,2014,美国 德国 英国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.jpg
蝴蝶效应,2004,美国 加拿大,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg
禁闭岛,2010,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg
致命魔术,2006,英国 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg
心灵捕手,1997,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg
低俗小说,1994,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg
超脱,2011,美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg
哈利·波特与密室,2002,英国 美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2913781951.jpg
摩登时代,1936,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
喜剧之王,1999,中国香港,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg
杀人回忆,2003,韩国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg
致命ID,2003,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg
春光乍泄,1997,中国香港 日本 韩国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg
一一,2000,中国台湾 日本,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg
海豚湾,2009,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg
美国往事,1984,美国 意大利,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
加勒比海盗,2003,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg
红辣椒,2006,日本,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2794776839.jpg
七宗罪,1995,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg
唐伯虎点秋香,1993,中国香港,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg
还有明天,2023,意大利,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918279456.jpg
肖申克的救赎,1994,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
霸王别姬,1993,中国大陆 中国香港,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
泰坦尼克号,1997,美国 墨西哥,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
阿甘正传,1994,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg
千与千寻,2001,日本,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
美丽人生,1997,意大利,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
这个杀手不太冷,1994,法国 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913554676.jpg
星际穿越,2014,美国 英国 加拿大,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg
盗梦空间,2010,美国 英国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
楚门的世界,1998,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
辛德勒的名单,1993,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
忠犬八公的故事,2009,美国 英国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg
海上钢琴师,1998,意大利,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2914698334.jpg
三傻大闹宝莱坞,2009,印度,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
疯狂动物城,2016,美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2323981221.jpg
放牛班的春天,2004,法国 瑞士 德国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg
机器人总动员,2008,美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
无间道,2002,中国香港,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
控方证人,1957,美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2911817201.jpg
大话西游之大圣娶亲,1995,中国香港 中国大陆,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
熔炉,2011,韩国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
触不可及,2011,法国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
教父,1972,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
寻梦环游记,2017,美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505426431.jpg
当幸福来敲门,2006,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg
狩猎,2012,丹麦 瑞典,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg
幽灵公主,1997,日本,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2920895053.jpg
甜蜜蜜,1996,中国香港,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg
蝙蝠侠：黑暗骑士崛起,2012,美国 英国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg
7号房的礼物,2013,韩国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg
寄生虫,2019,韩国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg
天书奇谭,1983(中国大陆),2021,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2700138245.jpg
超能陆战队,2014,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg
爱在黎明破晓前,1995,美国 奥地利 瑞士,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg
被嫌弃的松子的一生,2006,日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg
第六感,1999,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg
爱在日落黄昏时,2004,美国 法国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg
重庆森林,1994,中国香港,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg
入殓师,2008,日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2707581855.jpg
剪刀手爱德华,1990,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg
未麻的部屋,1997,日本,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg
断背山,2005,美国 加拿大,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2154212680.jpg
菊次郎的夏天,1999,日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg
哈利·波特与火焰杯,2005,英国 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456904.jpg
借东西的小人阿莉埃蒂,2010,日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg
勇敢的心,1995,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg
茶馆,1982(中国大陆),中国大陆,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528965424.jpg
头脑特工队,2015,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2874927470.jpg
时空恋旅人,2013,英国 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg
无人知晓,2004,日本,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg
消失的爱人,2014,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg
倩女幽魂,1987,中国香港,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918554634.jpg
完美的世界,1993,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg
